Protokollzeit,Herzfrequenz
01:15:40,194
01:15:50,195
01:16:00,194
01:16:10,193
01:16:20,193
01:16:30,193
01:16:40,191
01:16:50,191
01:17:00,191
01:17:10,191
01:17:20,192
01:17:30,193
01:17:40,194
01:17:50,194
01:18:00,194
01:18:10,193
01:18:20,193
01:18:30,193
01:18:40,193
01:18:50,194
01:19:00,194
01:19:10,194
01:19:20,194
01:19:30,193
01:19:40,194
01:19:50,193
01:20:00,193
01:20:10,192
01:20:20,192
01:20:30,191
01:20:40,192
01:20:50,192
01:21:00,192
01:21:10,191
01:21:20,191
01:21:30,192
01:21:40,192
01:21:50,192
01:22:00,192
01:22:10,190
01:22:20,190
01:22:30,189
01:22:40,190
01:22:50,189
01:23:00,190
01:23:10,192
01:23:20,192
01:23:30,192
01:23:40,192
01:23:50,193
01:24:00,194
01:24:10,194
01:24:20,194
01:24:30,194
01:24:40,194
01:24:50,194
01:25:00,194
01:25:10,194
01:25:20,194
01:25:30,194
01:25:40,191
01:25:50,182
01:26:00,175
01:26:10,164
01:26:20,157
01:26:30,154
01:26:40,152
01:26:50,145
01:27:00,141
01:27:10,140
01:27:20,141
01:27:30,142
01:27:40,147
01:27:50,152
01:28:00,154
01:28:10,158
01:28:20,162
01:28:30,162
01:28:40,161
01:28:50,162
01:29:00,162
01:29:10,162
01:29:20,163
01:29:30,166
01:29:40,165
01:29:50,164
01:30:00,164
01:30:10,163
01:30:20,159
01:30:30,154
01:30:40,153
01:30:50,156
01:31:00,153
01:31:10,152
01:31:20,151
01:31:30,152
01:31:40,151
01:31:50,152
01:32:00,151
01:32:10,148
01:32:20,153
01:32:30,156
01:32:40,157
01:32:50,163
01:33:00,167
01:33:10,170
01:33:20,171
01:33:30,173
01:33:40,173
01:33:50,172
01:34:00,171
01:34:10,172
01:34:20,173
01:34:30,175
01:34:40,173
01:34:50,172
01:35:00,173
01:35:10,173
01:35:20,171
01:35:30,170
01:35:40,170
01:35:50,172
01:36:00,175
01:36:10,177
01:36:20,178
01:36:30,176
01:36:40,173
01:36:50,171
01:37:00,170
01:37:10,167
01:37:20,163
01:37:30,163
01:37:40,164
01:37:50,165
01:38:00,167
01:38:10,166
01:38:20,169
01:38:30,173
01:38:40,177
01:38:50,179
01:39:00,179
01:39:10,179
01:39:20,180
01:39:30,179
01:39:40,179
01:39:50,178
01:40:00,177
01:40:10,178
01:40:20,179
01:40:30,178
01:40:40,177
01:40:50,176
01:41:00,174
01:41:10,173
01:41:20,172
01:41:30,169
01:41:40,165
01:41:50,165
01:42:00,165
01:42:10,165
01:42:20,165
01:42:30,164
01:42:40,164
01:42:50,165
01:43:00,166
01:43:10,165
01:43:20,165
01:43:30,166
01:43:40,163
01:43:50,164
01:44:00,163
01:44:10,161
01:44:20,159
01:44:30,159
01:44:40,161
01:44:50,159
01:45:00,159
01:45:10,159
01:45:20,159
01:45:30,161
01:45:40,162
01:45:50,165
01:46:00,167
01:46:10,168
01:46:20,168
01:46:30,169
01:46:40,168
01:46:50,167
01:47:00,167
01:47:10,163
01:47:20,160
01:47:30,156
01:47:40,152
01:47:50,155
01:48:00,156
01:48:10,157
01:48:20,158
01:48:30,160
01:48:40,161
01:48:50,164
01:49:00,163
01:49:10,165
01:49:20,166
01:49:30,162
01:49:40,158
01:49:50,157
01:50:00,153
01:50:10,152
01:50:20,154
01:50:30,155
01:50:40,154
01:50:50,152
01:51:00,143
01:51:10,136
01:51:20,134
01:51:30,136
01:51:40,132
01:51:50,134
01:52:00,134
01:52:10,134
01:52:20,135
01:52:30,126
01:52:40,123
01:52:50,125
01:53:00,125
01:53:10,125
